股票代码,股票简称,现价(元),涨跌幅(%),区间收盘价:前复权(元)2020.01.02-2020.12.09,加权净资产收益率(%)2020.09.30,区间开盘价:前复权(元)2020.01.02-2020.12.09,区间最高价:前复权(元)2020.01.02-2020.12.09,区间最低价:前复权(元)2020.01.02-2020.12.09,所属同花顺行业,预测净资产收益率(%)2022.12.31,预测净资产收益率(%)2021.12.31,预测净资产收益率(%)2020.12.31,净利润(元)2020.09.30,净资产(元)2020.09.30
603319.SH,湘油泵,42.74,-1.225,42.74,15.18,17.67,53,14.67,交运设备-汽车零部件-汽车零部件Ⅲ,20.2467,19.5933,17.4867,129691503.19,925854849.03
002833.SZ,弘亚数控,42.09,-2.298,42.09,15.54,24.48125,53.1,20.9125,机械设备-专用设备-其它专用机械,21.3842,21.2971,19.8864,246252496.45,1710792591.01
300880.SZ,迦南智能,41.97,1.133,41.97,17.43,--,84,31.11,机械设备-仪器仪表-仪器仪表,--,--,--,60322266.31,625016759.88
300630.SZ,普利制药,41.30,-3.050,41.32,25.5,36.82800324,55,35.48351369,医药生物-化学制药-化学制剂,26.195,25.4075,23.92,284946031.6,1957230609.07
300715.SZ,凯伦股份,41.10,-2.259,41.10,15.07,20.68,74.58,17.72,建筑材料-建筑材料-其他建材,23.7522,21.4656,17.74,171789390.85,1217322587.37
003008.SZ,开普检测,40.65,-1.954,40.64,16.58,--,53,35.69,机械设备-电气设备-输变电设备,--,--,--,67646490.85,997393666.81
688551.SH,科威尔,40.63,-2.332,40.63,17.8,--,66.31,38.1,机械设备-专用设备-其它专用机械,--,--,--,35358144.41,902502960.26
600887.SH,伊利股份,40.58,-0.246,40.58,21.68,30.35,44.54,26.08,食品饮料-食品加工制造-乳品,25.9825,25.6652,24.7052,6024373271.29,28548286634.48
002508.SZ,老板电器,40.26,-1.322,40.30,15.56,33.4,44.79,23.88,家用电器-白色家电-小家电,19.2604,20.324,21.2388,1122839103.5,7643533074.27
300738.SZ,奥飞数据,39.70,-1.757,39.70,16.21,20.41176471,65.96,17.34705882,信息服务-计算机应用-软件开发及服务,22.048,20.611,22.691,119749721.06,796277998.91
002869.SZ,金溢科技,39.29,3.179,39.27,25,42.3,64.87,35.26666667,电子-其他电子-其他电子Ⅲ,27.2,28.9333,32.1,510224199.36,2249334567.8
603707.SH,健友股份,38.83,-1.196,38.83,19.24,31.84615385,60.03,31.36923077,医药生物-化学制药-化学原料药,24.1182,23.6118,22.5545,613125613.02,3458429505.29
603043.SH,广州酒家,38.71,-0.487,38.80,15.53,30.15,47.56,23.65,食品饮料-食品加工制造-食品综合,19.432,19.232,17.3672,359503221.26,2454149926.4
002810.SZ,山东赫达,38.42,-2.388,38.42,20.28,19.2,43.51,14.97,化工-化学制品-其他化学制品,23.99,22.695,22.375,199654120.09,1005086441.46
002414.SZ,高德红外,38.32,-0.571,38.32,20.66,12.24705882,44.69,12.18235294,电子-其他电子-其他电子Ⅲ,23.79,23.535,23.25,796020577.56,4146753886.01
300867.SZ,圣元环保,37.94,-2.217,37.94,16.54,--,79.9,31.1,公用事业-环保工程-环保工程及服务,--,--,--,241569834.72,2664844809.43
300639.SZ,凯普生物,37.86,1.366,37.86,19.59,24.2,60.55,23.8,医药生物-医疗器械服务-医疗器械Ⅲ,19.0946,17.47,18.72,273293520.31,2487057585.69
688013.SH,天臣医疗,37.76,-0.132,37.76,21.69,--,48,33.86,医药生物-医疗器械服务-医疗器械Ⅲ,14.9,11.35,8.23,26072007.42,457032276.9
